index,date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
247,2014-02-01T00:00:00,TPCP,GHCND:CEM00043424,92,0,0,Sri Lanka,TPCP
248,2014-02-01T00:00:00,TPCP,GHCND:CEM00043441,51,0,0,Sri Lanka,TPCP
249,2014-02-01T00:00:00,TPCP,GHCND:CEM00043466,196,0,0,Sri Lanka,TPCP
250,2014-03-01T00:00:00,TPCP,GHCND:CE000434730,461,0,0,Sri Lanka,TPCP
251,2014-03-01T00:00:00,TPCP,GHCND:CEM00043418,54,0,0,Sri Lanka,TPCP
252,2014-03-01T00:00:00,TPCP,GHCND:CEM00043424,353,0,0,Sri Lanka,TPCP
253,2014-03-01T00:00:00,TPCP,GHCND:CEM00043441,633,0,0,Sri Lanka,TPCP
254,2014-03-01T00:00:00,TPCP,GHCND:CEM00043466,1023,0,0,Sri Lanka,TPCP
255,2014-04-01T00:00:00,TPCP,GHCND:CE000434730,1337,0,0,Sri Lanka,TPCP
256,2014-04-01T00:00:00,TPCP,GHCND:CEM00043418,0,0,0,Sri Lanka,TPCP
257,2014-04-01T00:00:00,TPCP,GHCND:CEM00043424,1882,0,0,Sri Lanka,TPCP
258,2014-04-01T00:00:00,TPCP,GHCND:CEM00043441,5415,0,0,Sri Lanka,TPCP
259,2014-04-01T00:00:00,TPCP,GHCND:CEM00043466,2537,0,0,Sri Lanka,TPCP
260,2014-05-01T00:00:00,TPCP,GHCND:CE000434730,1608,0,0,Sri Lanka,TPCP
261,2014-05-01T00:00:00,TPCP,GHCND:CEM00043418,572,0,0,Sri Lanka,TPCP
262,2014-05-01T00:00:00,TPCP,GHCND:CEM00043424,1056,0,0,Sri Lanka,TPCP
263,2014-05-01T00:00:00,TPCP,GHCND:CEM00043441,1950,0,0,Sri Lanka,TPCP
264,2014-05-01T00:00:00,TPCP,GHCND:CEM00043466,839,0,0,Sri Lanka,TPCP
265,2014-06-01T00:00:00,TPCP,GHCND:CE000434730,1554,0,0,Sri Lanka,TPCP
266,2014-06-01T00:00:00,TPCP,GHCND:CEM00043418,0,0,0,Sri Lanka,TPCP
267,2014-06-01T00:00:00,TPCP,GHCND:CEM00043424,94,0,0,Sri Lanka,TPCP
268,2014-06-01T00:00:00,TPCP,GHCND:CEM00043441,514,0,0,Sri Lanka,TPCP
